Telecommunications,Utilities,Consumer products,Energy,Plantations,ESG-rated year,ROA,ROE,MV,ESG,DV,Size,Growth,Leverage,GovOwn,FamilyOwn
0,0,0,0,0,2021,1.59914107,0.03109,9.50499963,61.16,1,23.32379957,0.42342511,47.03748071,1,0
0,0,0,0,0,2020,-2.05515267,-0.03909,9.39862491,68.01,1,23.32446649,-0.60924687,59.60674086,1,0
0,0,0,0,0,2019,2.02098865,0.0396,9.47963216,62.17,1,23.37049143,0.09855633,66.18022411,1,0
0,0,0,0,0,2018,0.8059922,0.0403,9.67384386,71.37,1,23.39031326,0.01038947,61.25314468,1,0
0,0,0,0,0,2017,1.1945809,0.0216,9.67799982,72.36,1,23.32967438,0.05235429,54.36660838,1,0
0,0,0,0,0,2016,2.23418228,0.03915,9.70602854,68.33,1,23.19149816,-0.34256938,40.39870398,1,0
0,0,0,0,0,2015,4.5869105,0.07771,9.80602963,62.24,1,23.11892224,0.09746673,37.23593173,1,0
0,0,0,0,0,2014,6.12945005,0.10219,10.02972242,65.27,1,23.00661388,0.25035779,32.23201748,1,0
0,0,0,0,0,2013,5.30635758,0.08833,9.95850855,62.79,1,22.93005398,0.1388609,32.26048389,1,0
0,0,0,0,0,2012,-1.60504225,-0.03149,9.20916969,86.8,1,23.28652037,0.04189533,62.95972581,1,0
0,0,1,0,0,2021,-18.65250488,-1.10007244,9.48847482,63.49,1,23.71978145,-0.43922961,312.794135,0,0
0,0,1,0,0,2020,-25.90346078,-3.32082,9.47094635,61.07,1,23.71730348,-0.72392178,292.1101832,0,0
0,0,1,0,0,2019,-1.28316357,0.0762,9.754452,54.34,1,23.94798846,0.11487808,286.5211534,0,0
0,0,1,0,0,2018,8.42979497,0.16723,9.83194965,37.66,0,23.65551855,0.09563354,15.48122707,0,0
0,0,1,0,0,2017,7.19832,0.1632,9.82296831,27.19,0,23.76422857,0.41828812,115.6623174,0,0
0,0,1,0,0,2016,7.47573464,0.28621,9.57826516,31.66,0,23.80985087,0.08708428,159.4929282,0,0
0,0,1,0,0,2015,2.57872875,0.12257,9.32901905,32.84,0,23.78097983,0.16284263,283.2862943,0,0
0,0,1,0,0,2014,0.43009109,0.10497,9.65299835,38.46,0,23.74089756,0.05945473,279.4240115,0,0
0,0,1,0,0,2013,2.15646887,0.13257,9.56054933,36.47,0,23.5670887,0.03350747,203.3791301,0,0
0,0,1,0,0,2012,5.32897463,0.16672,9.65570105,42.37,0,23.4787599,0.10031943,173.0185301,0,0
0,0,1,0,0,2021,-1.39849205,-0.0252,10.25780104,62.88,1,25.35262231,0.16995702,128.1325781,0,0
0,0,1,0,0,2020,-2.05695402,-0.0049,10.23057705,61.87,1,25.32483976,-0.46503365,111.5333046,0,0
0,0,1,0,0,2019,3.71532183,0.06879,10.35329513,53.94,1,25.34839922,0.03661344,93.56734084,0,0
0,0,1,0,0,2018,2.57586138,0.11536,10.35249208,55.57,1,25.28908639,0.04131191,85.26800433,0,0
0,0,1,0,0,2017,3.5013139,0.0664,10.52473297,59.43,1,25.26238643,0.09037995,80.44092708,0,0
0,0,1,0,0,2016,4.94842044,0.03624,10.4494189,58.72,1,25.25096972,0.01466266,43.65360788,0,0
0,0,1,0,0,2015,3.19276224,0.06734,10.41123378,41.83,0,25.21675012,-0.00637334,46.62390115,0,0
0,0,1,0,0,2014,4.35618317,0.0727,10.49344438,34.16,0,25.01771476,0.06456401,38.11927191,0,0
0,0,1,0,0,2013,5.24728905,0.07545,10.55392538,25.13,0,24.99290031,0.03947296,42.76540275,0,0
0,0,1,0,0,2012,6.17439146,0.20263,10.48570245,28.05,0,24.90707474,-0.15834654,53.08666676,0,0
0,0,1,0,0,2021,-3.58107855,-0.04919,10.21958018,58.28,1,24.13804365,-0.08216305,100.0188627,0,0
0,0,1,0,0,2020,-7.66723269,-0.0999,10.17805995,51.16,1,24.06567195,-0.56482718,68.65971915,0,0
0,0,1,0,0,2019,4.09714811,0.0786,10.25026354,55.58,1,24.22920697,0.04827954,58.80330421,0,0
0,0,1,0,0,2018,-0.27980281,0.10669,10.20282513,55.22,1,24.18014835,0.06401723,53.56709676,0,0
0,0,1,0,0,2017,3.70739059,0.062,10.46655371,56.14,1,24.1234101,0.04463926,36.09284032,0,0
0,0,1,0,0,2016,10.108057,0.08149,10.37104353,46.27,0,24.05169118,0.06380495,22.01753988,0,0
0,0,1,0,0,2015,5.14508051,0.07562,10.3516522,40.11,0,24.03820538,0.02023234,24.23900966,0,0
0,0,1,0,0,2014,5.61045632,0.08424,10.31977243,25.35,0,23.75808458,-0.01178025,9.92498911,0,0
0,0,1,0,0,2013,8.62910013,0.11792,10.35165215,27.95,0,23.71156928,0.05506214,10.86758227,0,0
0,0,1,0,0,2012,8.40575367,0.1222,10.26040632,27.74,0,23.54841143,-0.07073478,8.44975146,0,0
0,0,1,0,0,2021,-0.01361346,-0.01188263,8.32754567,64.17,1,16.07145478,0.48250774,272.8448106,0,1
0,0,1,0,0,2020,-6.60557886,-0.05023244,8.34000843,50.11,1,23.01388563,-0.19379567,376.8446776,0,1
0,0,1,0,0,2019,-1.7418561,-0.01380166,8.38140112,45.81,0,23.06956289,0.01279091,121.9738452,0,1
0,0,1,0,0,2018,-1.81513173,-0.01483003,8.42814452,43.35,0,22.86760076,0.00446793,111.8420953,0,1
0,0,1,0,0,2017,-1.18013276,-0.00910646,8.75078567,38.36,0,22.9144093,0.02058195,112.7731866,0,1
0,0,1,0,0,2016,-1.68340736,-0.01348002,8.83485845,33.25,0,22.99915874,0.03875262,103.76476,0,1
0,0,1,0,0,2015,-0.14152338,-0.00106335,9.04329992,26.4,0,23.00802753,0.05213932,93.58707177,0,1
0,0,1,0,0,2014,2.81071839,0.07951,9.43691843,25.26,0,23.01000108,0.02863248,66.59914863,0,1
0,0,1,0,0,2013,5.32858013,0.0513,9.4783111,27.05,0,22.85937418,0.00937813,57.25272013,0,1
0,0,1,0,0,2012,8.88223578,0.08789,9.75498182,27.85,0,22.77035811,0.17017506,46.3869017,0,1
0,0,1,0,0,2021,10.27447536,0.18422,10.36669825,41.97,0,22.96023588,-0.14447665,2.23970549,1,0
0,0,1,0,0,2020,9.02410838,0.16281,10.38562241,45.99,0,22.81149429,-0.22169347,4.27718812,1,0
0,0,1,0,0,2019,8.15269667,0.16911,10.48268638,26.41,0,23.04244184,0.09578054,12.16333801,1,0
0,0,1,0,0,2018,5.15683517,0.10513,10.2187076,42.21,0,22.97881498,-0.00002857,10.40289097,1,0
0,0,1,0,0,2017,8.55028619,0.17454,10.35627169,27.21,0,23.01819449,0.32545524,9.64041104,1,0
0,0,1,0,0,2016,11.38420645,0.27237,10.3750121,44.24,0,23.00035187,0.27333224,1.12094062,1,0
0,0,1,0,0,2015,9.10680459,0.14285,10.41726547,51.01,1,22.93928872,0.09657343,0.93198273,1,0
0,0,1,0,0,2014,8.74037025,0.1397,10.35763157,44.98,0,23.02547606,0.0074768,5.59166886,1,0
0,0,1,0,0,2013,5.91557008,0.09439,10.31101498,63.71,1,22.98511258,0.20278925,2.08582009,1,0
0,0,1,0,0,2012,2.9681385,0.0475,10.32756154,53.76,1,22.84668,-0.38234594,3.15694632,1,0
0,0,1,0,0,2021,5.33066619,0.05917,10.30671073,52.94,1,23.8538841,0.02338968,5.08384102,0,0
0,0,1,0,0,2020,4.96041246,0.05111,10.27047667,45.05,0,23.84575014,0.03410358,2.51759082,0,0
0,0,1,0,0,2019,5.31014884,0.05723,10.2715706,44.52,0,23.81091499,0.09384092,3.64953477,0,0
0,0,1,0,0,2018,5.76546045,0.12339,10.38607859,72.41,1,24.03370527,0.15910029,5.81544603,0,0
0,0,1,0,0,2017,5.62660308,0.0825,10.4169956,75.83,1,23.93747712,-0.10527532,3.2841853,0,0
0,0,1,0,0,2016,5.12237845,0.05429,10.42443552,75.17,1,23.88475239,0.03434343,2.88164001,0,0
0,0,1,0,0,2015,4.77635934,0.05127,10.39437349,62.52,1,23.86934139,0.05694427,3.58362808,0,0
0,0,1,0,0,2014,5.26437326,0.05646,10.22550955,42.17,0,23.64670582,0.1171448,3.2911303,0,0
0,0,1,0,0,2013,6.07104125,0.06645,10.27807706,36.07,0,23.56032062,0.09774627,2.68028809,0,0
0,0,1,0,0,2012,5.64158006,0.05945,10.13463151,38.62,0,23.46921209,0.11340438,2.61946729,0,0
0,0,1,0,0,2021,5.57252807,0.189,9.40941862,33.73,0,21.90564589,0.08352612,165.4168104,0,0
0,0,1,0,0,2020,6.48400667,0.23461,9.47110913,36.19,0,21.76196144,0.04173814,169.3372052,0,0
0,0,1,0,0,2019,4.79604307,0.1821,9.54228465,34.52,0,21.772725,-0.29545485,201.0383094,0,0
0,0,1,0,0,2018,9.04366572,0.32125,9.45494749,16.11,0,21.69748315,0.18918031,155.7080917,0,0
0,0,1,0,0,2017,7.96578564,0.30373209,9.48091308,12.49,0,21.68048813,-0.03462734,155.3178838,0,0
0,0,1,0,0,2016,9.37949215,0.378295,9.60195672,10.19,0,21.70012848,0.03022868,148.9213823,0,0
0,0,1,0,0,2015,12.93629315,0.49407134,9.61496486,7.78,0,21.53938833,0.05291481,150.2122177,0,0
0,0,1,0,0,2014,16.91286254,0.48845779,9.67597206,7.83,0,21.49000078,0.21719419,137.1497611,0,0
0,0,1,0,0,2013,18.59929498,0.65801824,9.73811998,3.25,0,21.15703978,0.19636326,117.0817781,0,0
0,0,1,0,0,2012,27.16180521,0.81359777,9.779025,5.06,0,21.07958132,0.00571214,96.70305964,0,0
0,0,1,0,0,2021,4.36623862,0.06719,9.54030857,71.7,1,23.22246067,0.1576459,54.63666206,1,0
0,0,1,0,0,2020,2.86003331,0.09279,9.59903104,60.8,1,23.16100156,-0.18609362,51.11531616,1,0
0,0,1,0,0,2019,5.90249667,0.12949,9.71979846,65.92,1,23.1345115,0.03852703,54.31077224,1,0
0,0,1,0,0,2018,6.4853635,0.11766,9.80160918,42.08,0,23.09263724,0.02141671,63.77516969,1,0
0,0,1,0,0,2017,1.09842359,-0.1231,9.77962516,47.84,0,23.02002912,0.06034811,90.62518049,1,0
0,0,1,0,0,2016,-2.40861219,-0.07232,9.6892095,51.03,1,23.50865522,-0.27730935,134.683109,1,0
0,0,1,0,0,2015,0.01261765,0.06565,9.92526807,40.16,0,23.61810682,-0.03287509,91.34771609,1,0
0,0,1,0,0,2014,7.79695953,0.11303,10.06910393,37.25,0,23.52781787,0.07031737,63.66992166,1,0
0,0,1,0,0,2013,8.31250439,0.15778,10.10712389,35.73,0,23.41834251,-0.117939,47.50918349,1,0
0,0,1,0,0,2012,14.42265603,0.20804,10.1027809,30.7,0,23.1648424,0.16852664,55.84723474,1,0
0,1,0,0,0,2021,10.67221768,0.14645,10.51985247,39.7,0,23.59272806,0.07353396,24.90613614,1,0
0,1,0,0,0,2020,11.22524736,0.1486,10.60569064,18.77,0,23.52987137,0.02363691,18.79734565,1,0
0,1,0,0,0,2019,10.4812362,0.14759,10.49794207,36.49,0,23.69795428,-0.00724326,29.43608487,1,0
0,1,0,0,0,2018,10.57188072,0.14205,10.56061227,37.91,0,23.63691913,0.12281462,25.9439389,1,0
